category,count,pct,column
1004181C0|10041AB70,25661,0.0005651766187395308,from_account_id
100417200|10041A780,3163,6.966422372756852e-05,from_account_id
100417320|10041A7C8,2063,4.54370197755213e-05,from_account_id
100417440|10041A810,604,1.3302937442760478e-05,from_account_id
1004178C0|10041A930,381,8.39142245975454e-06,from_account_id
100417560|10041A858,339,7.466383763403646e-06,from_account_id
100417680|10041A8A0,321,7.069938607824691e-06,from_account_id
1004177A0|10041A8E8,315,6.937790222631706e-06,from_account_id
100417E60|10041AA98,299,6.585394528783746e-06,from_account_id
80011AFD0|8001AAC60,287,6.321097758397777e-06,from_account_id
1004181C0|10041AB70,12141,0.0002674022574380049,to_account_id
100417200|10041A780,1009,2.2222953443286956e-05,to_account_id
804E7ED90|82C6CFAA0,651,1.4338099793438858e-05,to_account_id
100417320|10041A7C8,589,1.2972566479778015e-05,to_account_id
803191840|8081AFDD0,426,9.382535348701925e-06,to_account_id
80B53BEE0|810B6DF90,420,9.250386963508941e-06,to_account_id
8054A0D70|80A16B6C0,418,9.206337501777947e-06,to_account_id
8284F3590|82CBB69B0,413,9.096213847450458e-06,to_account_id
81EAEFD50|8294E6000,400,8.809892346198991e-06,to_account_id
80522E9D0|80660F4A0,384,8.457496652351033e-06,to_account_id
2019-01-31 00:28:00,417506,0.009195457284730391,timestamp
2019-01-31 00:07:00,417126,0.009187087887001502,timestamp
2019-01-31 00:09:00,416927,0.009182704965559268,timestamp
2019-01-31 00:14:00,416878,0.009181625753746859,timestamp
2019-01-31 00:11:00,416838,0.009180744764512238,timestamp
2019-01-31 00:16:00,416803,0.009179973898931946,timestamp
2019-01-31 00:04:00,416760,0.00917902683550473,timestamp
2019-01-31 00:22:00,416720,0.00917814584627011,timestamp
2019-01-31 00:05:00,416631,0.00917618564522308,timestamp
2019-01-31 00:03:00,416593,0.009175348705450191,timestamp
US Dollar,16816091,0.37036987848471437,paid_currency
Euro,10534174,0.23201234724032105,paid_currency
Yuan,2662827,0.05864804801638006,paid_currency
Bitcoin,1658343,0.03652455825768169,paid_currency
Yen,1528288,0.03366013188496941,paid_currency
Rupee,1367607,0.03012117610477041,paid_currency
Mexican Peso,1352065,0.02977886773765885,paid_currency
Swiss Franc,1330271,0.029298860753176198,paid_currency
Ruble,1270346,0.027979028756061262,paid_currency
UK Pound,1269803,0.027967069327201294,paid_currency
US Dollar,16781288,0.36960335177640247,received_currency
Euro,10560315,0.23258809572987602,received_currency
Yuan,2622379,0.057757191702332414,received_currency
Bitcoin,1665137,0.03667419427918188,received_currency
Yen,1526410,0.033618769440404005,received_currency
Rupee,1365745,0.030080166055898853,received_currency
Mexican Peso,1356138,0.02986857446647402,received_currency
Swiss Franc,1337105,0.029449377763911006,received_currency
UK Pound,1274137,0.02806252451077236,received_currency
Ruble,1270903,0.027991296531153342,received_currency
Credit Card,14882155,0.3277754585736176,payment_type
Reinvestment,10762653,0.23704453572373904,payment_type
ACH,10674177,0.2350958756356833,payment_type
Cheque,6818220,0.15016946048175223,payment_type
Cash,1494293,0.03291140115919682,payment_type
Wire,681925,0.01501921459545437,payment_type
Bitcoin,90083,0.0019840538305566095,payment_type
